nces_id,cds_id,fips_code,county_code,District  Name,County Name,school_count,Total Enrollment ,Total Enrollment,enroll_es,enroll_ms,enroll_hs,race_hisp,race_afam,race_white,av,urban,suburban,Rural District,AV Per Student,AV Quintile,frpm_total,FRPM Share,Region Code,Nonwhite share,Black Share,Hispanic  Share,UN_LA,un_la_amount,UN_55,un_55_amount,SAB Unfunded, SAB Unfunded $ ,Bond on 11/2016,Bond $ 11/2016,cds_county,enrollgrowth,enrollgrowth_pct,perschoolpop,Bond Passed 11/2016,Bond Passed $  6/2016,Bond $ 6/2016,Bond Passed 6/2016,Bond Passed $  6/2016,Bond in 2015,Bond $ 2015,Bond Passed 2015,Bond in 2014,Bond $ 2014,Bond Passed 2014,,
621600,61721,6013,7,Liberty Union High,Contra Costa,7,8087,8087,0,0,8087,2689,747,3601,11740000000,0,1,0,1451938,4,2226,0.28,7,0.55,0.09,0.33,0,,0,,0,,1,122000000,7,4835,1.5692956,1319.3334,1,122000000,,,0,,,,,,,,
624030,61739,6013,7,Martinez Unified,Contra Costa,11,4221,4221,2243,645,1333,1256,103,2081,5525000000,0,1,0,1308924,4,1077,0.26,7,0.49,0.03,0.29,1,2304026,0,,1,"2,304,026",1,120000000,7,-186,-0.043065526,413.29999,1,120000000,,,0,,,,,,,,
625740,61747,6013,7,Moraga Elementary,Contra Costa,5,1852,1852,1417,435,0,154,18,1138,3227000000,0,1,0,1742264,4,26,0.01,7,0.38,0.01,0.08,0,,0,,0,,1,33000000,7,-45,-0.023809524,461.25,1,33000000,,,0,,,,,,,,
626370,61754,6013,7,Mt. Diablo Unified,Contra Costa,55,31923,31923,18410,5058,8455,13028,1336,11337,30340000000,0,1,0,950324,3,14759,0.46,7,0.63,0.04,0.4,0,,0,,0,,0,,7,-3886,-0.10842331,591.75928,,0,,,0,,,,,,,,
628080,61762,6013,7,Oakley Union Elementary,Contra Costa,9,4946,4946,3810,1136,0,2315,460,1611,2520000000,0,1,0,509557,2,2371,0.49,7,0.67,0.1,0.46,0,,0,,0,,1,31000000,7,674,0.1605909,608.875,1,31000000,,,0,,,,,,,,
628860,61770,6013,7,Orinda Union Elementary,Contra Costa,6,2529,2529,1927,602,0,121,38,1768,5003000000,0,1,0,1978146,5,8,0,7,0.31,0.02,0.05,0,,0,,0,,0,,7,74,0.030730898,496.39999,,0,,,0,,,,,,,,
630600,61788,6013,7,Pittsburg Unified,Contra Costa,15,10969,10969,6016,1654,3299,6873,2020,618,4614000000,0,1,0,420626,1,9077,0.84,7,0.94,0.2,0.62,1,3272108,0,,1,"3,272,108",0,,7,1419,0.15176471,769.21429,,0,,,0,,,,1,85000000,1,,
635130,61804,6013,7,San Ramon Valley Unified,Contra Costa,37,31954,31954,16881,5111,9962,2770,528,14853,36130000000,0,1,0,1130781,3,1326,0.04,7,0.51,0.02,0.09,1,2706362,0,,1,"2,706,362",0,,7,11872,0.60800982,872.16669,,0,,,0,,,,,,,,
641250,61812,6013,7,Walnut Creek Elementary,Contra Costa,7,3608,3608,2820,788,0,524,94,2139,10500000000,1,0,0,2909386,5,375,0.11,7,0.39,0.03,0.15,0,,0,,0,,0,,7,333,0.10328784,508.14285,,0,60000000,1,60000000,,,,,,,,
632550,61796,6013,7,West Contra Costa Unified,Contra Costa,61,30596,30596,17595,4332,8669,16148,5621,3161,22230000000,0,1,0,726407,3,21786,0.71,7,0.89,0.19,0.52,1,4119270,1,1555324,1,"5,674,594",0,,7,-2390,-0.072183631,520.67798,,0,,,0,,,,1,270000000,0,,
